SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
DHFL,Dewan Housing Finance Corporation Limited,NO,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,09-SEP-2023,,,,09-SEP-2023,INE202B07IN5
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,09-SEP-2023,,,,09-SEP-2017,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,09-SEP-2023,,,,09-SEP-2018,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,09-SEP-2023,,,,09-SEP-2019,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,09-SEP-2023,,,,09-SEP-2020,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,09-SEP-2023,,,,09-SEP-2021,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,09-SEP-2023,,,,09-SEP-2022,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NP,1000,1000,1,9.25,14-SEP-2016,09-SEP-2016,09-SEP-2023,,,,09-SEP-2023,INE202B07IO3
DHFL,Dewan Housing Finance Corporation Limited,NQ,1000,1000,1,8.9,06-JUN-2018,04-JUN-2018,04-JUN-2021,,,,,INE202B07IY2
DHFL,Dewan Housing Finance Corporation Limited,NR,1000,1000,1,8.9,06-JUN-2018,04-JUN-2018,04-JUN-2023,,,,,INE202B07IZ9
DHFL,Dewan Housing Finance Corporation Limited,NS,1000,1000,1,9,06-JUN-2018,04-JUN-2018,04-JUN-2023,,,,,INE202B07JA0
DHFL,Dewan Housing Finance Corporation Limited,NT,1000,1000,1,8.9,06-JUN-2018,04-JUN-2018,04-JUN-2025,,,,,INE202B07JB8
DHFL,Dewan Housing Finance Corporation Limited,NU,1000,1000,1,9,06-JUN-2018,04-JUN-2018,04-JUN-2025,,,,,INE202B07JJ1
DHFL,Dewan Housing Finance Corporation Limited,NV,1000,1000,1,8.9,06-JUN-2018,04-JUN-2018,04-JUN-2028,,,,,INE202B07JC6
DHFL,Dewan Housing Finance Corporation Limited,NW,1000,1000,1,9,06-JUN-2018,04-JUN-2018,04-JUN-2028,,,,,INE202B07JD4
DHFL,Dewan Housing Finance Corporation Limited,NX,1000,1000,1,9.1,06-JUN-2018,04-JUN-2018,04-JUN-2028,,,,,INE202B07JE2
DHFL,Dewan Housing Finance Corporation Limited,NY,1000,1000,1,8.56,06-JUN-2018,04-JUN-2018,04-JUN-2021,,,,,INE202B07JF9
DHFL,Dewan Housing Finance Corporation Limited,NZ,1000,1000,1,8.56,06-JUN-2018,04-JUN-2018,04-JUN-2023,,,,,INE202B07JG7
DHFL,Dewan Housing Finance Corporation Limited,Y1,1000,1000,1,8.65,06-JUN-2018,04-JUN-2018,04-JUN-2023,,,,,INE202B07JH5
DHFL,Dewan Housing Finance Corporation Limited,Y2,1000,1000,1,,06-JUN-2018,04-JUN-2018,04-JUN-2021,,,,,INE202B07JI3
ECLFINANCE,ECL Finance Limited,N5,1000,1000,1,12,01-JUL-2014,26-JUN-2014,14-MAY-2020,,,,,INE804I08601
ECLFINANCE,ECL Finance Limited,N6,1000,1000,1,12,01-JUL-2014,26-JUN-2014,14-MAY-2020,,,,,INE804I08619
ECLFINANCE,ECL Finance Limited,N7,1000,1000,1,0,01-JUL-2014,26-JUN-2014,14-MAY-2020,,,,,INE804I08627
ECLFINANCE,ECL Finance Limited,NB,1000,1000,1,10.15,13-MAR-2015,11-MAR-2015,11-MAR-2020,,,,,INE804I07ZL1
ECLFINANCE,ECL Finance Limited,NC,1000,1000,1,10.6,13-MAR-2015,11-MAR-2015,11-MAR-2020,,,,,INE804I07ZM9
ECLFINANCE,ECL Finance Limited,ND,1000,1000,1,0,13-MAR-2015,11-MAR-2015,11-MAR-2020,,,,,INE804I07ZN7
ECLFINANCE,ECL Finance Limited,NE,1000,1000,1,0,09-AUG-2018,06-AUG-2018,06-AUG-2021,,,,,INE804I073Y9
ECLFINANCE,ECL Finance Limited,NF,1000,1000,1,9.45,09-AUG-2018,06-AUG-2018,06-AUG-2021,,,,,INE804I074Y7
ECLFINANCE,ECL Finance Limited,NG,1000,1000,1,9.25,09-AUG-2018,06-AUG-2018,06-AUG-2023,,,,,INE804I075Y4
ECLFINANCE,ECL Finance Limited,NH,1000,1000,1,0,09-AUG-2018,06-AUG-2018,06-AUG-2023,,,,,INE804I076Y2
ECLFINANCE,ECL Finance Limited,NI,1000,1000,1,9.65,09-AUG-2018,06-AUG-2018,06-AUG-2023,,,,,INE804I077Y0
ECLFINANCE,ECL Finance Limited,NJ,1000,1000,1,6.43,09-AUG-2018,06-AUG-2018,06-AUG-2028,,,,,INE804I078Y8
ECLFINANCE,ECL Finance Limited,NK,1000,1000,1,9.85,09-AUG-2018,06-AUG-2018,06-AUG-2028,,,,,INE804I079Y6
ECLFINANCE,ECL Finance Limited,NL,1000,1000,1,,09-AUG-2018,06-AUG-2018,06-AUG-2021,,,,,INE804I070Z2
ECLFINANCE,ECL Finance Limited,NM,1000,1000,1,10.2,08-JAN-2019,,04-APR-2022,,,,,INE804I075Z1
ECLFINANCE,ECL Finance Limited,NN,1000,1000,1,,08-JAN-2019,,04-JAN-2022,,,,,INE804I076Z9
ECLFINANCE,ECL Finance Limited,NO,1000,1000,1,9.95,08-JAN-2019,,04-JAN-2024,,,,,INE804I077Z7
ECLFINANCE,ECL Finance Limited,NP,1000,1000,1,10.4,08-JAN-2019,,04-JAN-2024,,,,,INE804I078Z5
ECLFINANCE,ECL Finance Limited,NQ,1000,1000,1,,08-JAN-2019,,04-JAN-2024,,,,,INE804I079Z3
ECLFINANCE,ECL Finance Limited,NR,1000,1000,1,10.15,08-JAN-2019,,05-JAN-2029,,,,,INE804IA7014
ECLFINANCE,ECL Finance Limited,NS,1000,1000,1,10.6,08-JAN-2019,,04-JAN-2029,,,,,INE804IA7022
EHFLNCD,Edelweiss Housing Finance Limited,N3,1000,1000,1,9.75,22-JUL-2016,19-JUL-2016,19-JUL-2021,,,,,INE530L07194
EHFLNCD,Edelweiss Housing Finance Limited,N4,1000,1000,1,,22-JUL-2016,19-JUL-2016,19-JUL-2021,,,,,INE530L07202
EHFLNCD,Edelweiss Housing Finance Limited,N5,1000,1000,1,9.57,22-JUL-2016,19-JUL-2016,19-JUL-2026,,,,,INE530L07210
EHFLNCD,Edelweiss Housing Finance Limited,N6,1000,1000,1,10,22-JUL-2016,19-JUL-2016,19-JUL-2026,,,,,INE530L07228
EHFLNCD,Edelweiss Housing Finance Limited,N7,1000,1000,1,,22-JUL-2016,19-JUL-2016,19-JUL-2026,,,,,INE530L07236
ERFLNCDI,Edelweiss Retail Finance Limited,N1,1000,1000,1,8.75,26-MAR-2018,22-MAR-2018,22-MAR-2021,,,,,INE528S07078
ERFLNCDI,Edelweiss Retail Finance Limited,N2,1000,1000,1,8.75,26-MAR-2018,22-MAR-2018,22-MAR-2021,,,,,INE528S07086
ERFLNCDI,Edelweiss Retail Finance Limited,N3,1000,1000,1,8.65,26-MAR-2018,22-MAR-2018,22-MAR-2023,,,,,INE528S07094
ERFLNCDI,Edelweiss Retail Finance Limited,N4,1000,1000,1,9,26-MAR-2018,22-MAR-2018,22-MAR-2023,,,,,INE528S07102
ERFLNCDI,Edelweiss Retail Finance Limited,N5,1000,1000,1,8.88,26-MAR-2018,22-MAR-2018,22-MAR-2028,,,,,INE528S07110
