Symbol,Underlying,Security Name, Date of Listing, Market Lot,ISIN Number, Face Value
IDBIGOLD,Gold,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund,17-Nov-11,1,INF397L01554,100
CRMFGETF,Gold,Canara Robeco Mutual Fund - Canara Robeco - Gold ETF,23-Mar-12,1,INF760K01BR1,100
ICICINIFTY,Nifty 50,ICICI Prud Nifty ETF,26-Mar-13,1,INF109K012R6,10
RELCNX100,Nifty 100,Reliance Mutual Fund - R* Shares CNX 100 Fund,28-Mar-13,1,INF204K014N5,10
ICICINF100,Nifty 100,ICICI Prud Nifty 100 ETF,26-Aug-13,1,INF109KA1962,10
CPSEETF,Nifty CPSE,CPSE ETF*,04-Apr-14,1,INF457M01133,10
RELCONS,Nifty Consumption,Reliance MF - R*Shares Consumption Fund - R* SHARES CONSUMPTION FUND,11-Apr-14,1,INF204KA1LD7,10
RELDIVOPP,Nifty Div Opps 50,Reliance MF - R*Shares Dividend Opportunities Fund - RSDOETF,23-Apr-14,1,INF204KA1MS3,10
ICICISENSX,SENSEX,ICICI Prud Sensex ETF,23-Jul-14,1,INF346A01034,10
KOTAKBKETF,Nifty Bank,Kotak Mahindra MF - Kotak Banking ETF - Dividend Payout Option,11-Dec-14,1,INF174K01F59,10
LICNETFGSC,GSEC10 NSE Index,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO,01-Jan-15,1,INF767K01MV5,10
SETFNN50,Nifty Next 50,SBI-ETF Nifty Next 50,25-Mar-15,1,INF200KA1598,10
SETFNIFBK,Nifty Bank,SBI-ETF Nifty Bank,25-Mar-15,1,INF200KA1580,10
NIFTYEES,Nifty 50,Edelweiss ETF - Nifty 50 ,14-May-15,1,INF754K01EK3,10
RELNV20,Nifty50 Value 20,Reliance Mutual Fund - R*Shares NV20 ETF,23-Jun-15,1,INF204KA17D8,10
SETFNIF50,Nifty 50,SBI-ETF Nifty 50,27-Jul-15,1,INF200KA1FS1,10
UTINIFTETF,Nifty 50,UTI Mutual Fund - UTI-Nifty Exchange Traded Fund,03-Sep-15,1,INF789FB1X41,10
UTISENSETF,SENSEX,UTI Mutual Fund - UTI-Sensex Exchange Traded Fund ,03-Sep-15,1,INF789FB1X58,10
LICNETFN50,Nifty 50,LICNAMC - LICNFENGP,30-Nov-15,1,INF767K01OS7,10
LICNETFSEN,SENSEX,LICNAMC - LICNFESGP,07-Dec-15,1,INF767K01OT5,10
KOTAKNV20,Nifty50 Value 20,KOTAKMAMC - KTKNV20ETF,09-Dec-15,1,INF174K01Z71,10
HDFCNIFETF,Nifty 50,HDFCAMC - HDFCNIFETF,16-Dec-15,1,INF179KB1KP3,761.25
HDFCSENETF,SENSEX,HDFCAMC - HDFCSENETF,16-Dec-15,1,INF179KB1KQ1,2503.61
EBANK,Nifty Bank,Edelweiss ETF - Nifty Bank ,18-Dec-15,1,INF754K01EL1,10
LICNFNHGP,Nifty 100,LICNAMC - LICNFNHGP,28-Mar-16,1,INF767K01PC8,10
EQ30,Nifty Quality 30,Edel ETF Nifty 100 Qual30,30-May-16,1,INF754K01EM9,10
SETF10GILT,Nifty 10 yr Benchmark G-Sec Index,SBIAMC - SETF10GILT,17-Jun-16,1,INF200KA1JT1,10
ICICINV20,Nifty50 Value 20,ICICI Prudential NV20 ETF,22-Jun-16,1,INF109KB1WY5,36.3
RRSLGETF,Nifty GS 8 13Yr,RELCAPAMC - RRSLGETF,11-Jul-16,1,INF204KB1882,10
ICICIMCAP,S&P BSE Midcap Select Index,ICICI Prud Midcap Sel ETF,11-Jul-16,1,INF109KB1XT3,10
IDFNIFTYET,NIFTY 50,IDFCAMC - IDFNIFTYET,18-Oct-16,1,INF194KA1U07,10
AXISNIFTY,NIFTY 50,AXISAMC - AXISNIFTY,10-Jul-17,1,INF846K01ZL0,100
ICICILOVOL,Nifty 100 Low Volatility 30 Index,ICICI Pr Nif Lw Vl 30 ETF,10-Jul-17,1,INF109KB10T8,10
UTINEXT50,Nifty Next 50,UTIAMC - UTINEXT50,08-Aug-17,1,INF789FC1N82,10
ICICIB22,S&P BSE BHARAT 22 index,ICICIPRAMC - BHARATIWIN,28-Nov-17,1,INF109KB15Y7,10
LIQUIDETF,Nifty1D rate index,DSP BLACKROCK LIQUID ETF,20-Mar-18,1,INF740KA1EU7,1000
ICICI500,S&P BSE 500 index,ICICIPRAMC - ICICI500,16-May-18,1,INF109KC1CZ3,10
ICICINXT50,Nifty Next 50,ICICIPRAMC - ICICINXT50,30-Aug-18,1,INF109KC1JI4,10
ICICILIQ,S&P BSE Liquid Rate Index.,ICICIPRAMC - ICICILIQ,26-Sep-18,1,INF109KC1KT9,1000
MAN50ETF,Nifty 50,MIRAEAMC - MAN50ETF,26-Nov-18,1,INF769K01EG9,100
SBIETFQLTY,Nifty 200 Quality 30 Index,SBIAMC - SBIETFQLTY,17-Dec-18,1,INF200KA1WX6,10
NETF,Nifty 50,TATAAML - NETF,04-Jan-19,1,INF277K015R5,10
RETFMID150,Nifty Midcap 150,RELCAPAMC - RETFMID150,04-Feb-19,1,INF204KB1V68,10
UTISXN50,BSE Sensex Next 50,UTIAMC - UTISXN50,13-Mar-19,1,INF789F1AHR6,10
IBMFNIFTY,Nifty 50,IBULLSAMC - IBMFNIFTY,08-May-19,1,INF666M01FS5,10
IPRU5008,Nifty Bank Index,ICICIPRAMC - IPRU5008,15-Jul-19,1,INF109KC1E27,10
ICICIBANKP,Nifty Private Bank Index,ICICIPRAMC - ICICIBANKP,14-Aug-19,1,INF109KC1E35,10
