SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
PGIMAHD4D,PGIM India Fixed Duration Fund - Series AH - DPADPO,MF,25-JUL-2017,1000,1,INF663L01UU9,1000
PGIMAHGPG,PGIM India Fixed Duration Fund - Series AH - RPG,MF,25-JUL-2017,1000,1,INF663L01UW5,1000
PGIMAHQDD,PGIM India Fixed Duration Fund - Series AH - RPQDPO,MF,25-JUL-2017,1000,1,INF663L01UX3,1000
PGIMAPD1G,PGIM India Fixed Duration Fund - Series AP - DPG,MF,08-MAR-2018,1000,1,INF663L01ZE2,1000
PGIMAPDPD,PGIM India Fixed Duration Fund - Series AP - RPSDPO,MF,08-MAR-2018,1000,1,INF663L01ZK9,1000
PGIMAPGPG,PGIM India Fixed Duration Fund - Series AP - RPG,MF,08-MAR-2018,1000,1,INF663L01ZJ1,1000
PGIMAQD1G,PGIM India Fixed Duration Fund - Series AQ - DPG,MF,14-MAR-2018,1000,1,INF663L01ZO1,1000
PGIMAQD2D,PGIM India Fixed Duration Fund - Series AQ - DPSDPO,MF,14-MAR-2018,1000,1,INF663L01ZP8,1000
PGIMAQGPG,PGIM India Fixed Duration Fund - Series AQ - RPG,MF,14-MAR-2018,1000,1,INF663L01ZT0,1000
PGIMATD1G,PGIM India Fixed Duration Fund - Series AT - DPG,MF,27-MAR-2018,1000,1,INF663L01A85,1000
PGIMATDPD,PGIM India Fixed Duration Fund - Series AT - RPSDPO,MF,27-MAR-2018,1000,1,INF663L01B43,1000
PGIMATGPG,PGIM India Fixed Duration Fund - Series AT - RPG,MF,27-MAR-2018,1000,1,INF663L01B35,1000
PGIMATQDD,PGIM India Fixed Duration Fund - Series AT - RPQDPO,MF,27-MAR-2018,1000,1,INF663L01B76,1000
PGIMAUD1G,PGIM India Fixed Duration Fund - Series AU - DPG,MF,28-MAR-2018,1000,1,INF663L01C83,1000
PGIMAUDPD,PGIM India Fixed Duration Fund - Series AU - RPSDPO,MF,28-MAR-2018,1000,1,INF663L01D41,1000
PGIMAUGPG,PGIM India Fixed Duration Fund - Series AU - RPG,MF,28-MAR-2018,1000,1,INF663L01D33,1000
PGIMAUQDD,PGIM India Fixed Duration Fund - Series AU - RPQDPO,MF,28-MAR-2018,1000,1,INF663L01D74,1000
PGIMAYD1G,PGIM India Fixed Duration Fund - Series AY - DPG,MF,06-JUN-2018,1000,1,INF663L01H21,1000
PGIMAYGPG,PGIM India Fixed Duration Fund - Series AY - RPG,MF,06-JUN-2018,1000,1,INF663L01H70,1000
PGIMAZD1G,PGIM India Fixed Duration Fund - Series AZ - DPG,MF,21-JUN-2018,1000,1,INF663L01J29,1000
PGIMAZDPD,PGIM India Fixed Duration Fund - Series AZ - RPSDPO,MF,21-JUN-2018,1000,1,INF663L01J86,1000
PGIMAZGPG,PGIM India Fixed Duration Fund - Series AZ - RPG,MF,21-JUN-2018,1000,1,INF663L01J78,1000
PGIMBAD1G,PGIM India Fixed Duration Fund - Series BA - DPG,MF,25-JUN-2018,1000,1,INF663L01I20,1000
PGIMBADPD,PGIM India Fixed Duration Fund - Series BA - RPSDPO,MF,25-JUN-2018,1000,1,INF663L01I87,1000
PGIMBAGPG,PGIM India Fixed Duration Fund - Series BA - RPG,MF,25-JUN-2018,1000,1,INF663L01I79,1000
PGIMBAQDD,PGIM India Fixed Duration Fund - Series BA - RPQDPO,MF,25-JUN-2018,1000,1,INF663L01J11,1000
PGIMBBD1G,PGIM India Fixed Duration Fund - Series BB - DPG,MF,23-JUL-2018,1000,1,INF663L01K26,1000
